Purchased,Description,Cost,PK QTY,BOM QTY,Order QTY,PO QTY,RecQTY,Mfg/Matl,Vendor,Assy (temp),Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
001283,Drive package consisting of: R911331611 (HCS01.1E-W0028-A-03-B-ET-EC-NN-L4-NN-FW) and R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN),1775.0736,1,15,15,15,15,BRC,AAP, , ,N/A,44881,44986,44986,54563,", 13x001.301, 2x002.313,"
001526,"Drive package consisting of: R911397897(BRC, HCS01.1E-W0005-A-03-B-ET-EC-EP-L4-N),  R911347141 (FWA-INDRV*-MPB-20VRS-D5-1-NNN-NN)",1527.3927,1,2,2,2,2,BRC,AAP, , ,N/A,44881,44986,44986,54563,", 2x001.302,"
8751,ELESA Wing Nut 8751 CTL.476/40 p-M8x16 ,16.35,1,4,4,4,4,ELESA,ELESA, , ,N/A,45162,45184,45184,55075,", 2x331.310, 2x631.310,"
022198,Dienes 022198 MALE/FEMALE ADAPTER,20.21,1,1,1,1,1,DIENES,DIENES, , ,45125,45149,45177,45156,55052,", 1x730.302,"
98635,STOBER BUSHING ADAPTER 9MM TO 11MM,25.4118,1,1,1,1,1,STOBER,AAP,,,45216,45216,45224,45224,55217,", 1x820.306"
201558,Dorner Conveyor L Bracket,154.8269,1,4,4,4,,DORNER,AAP, , ,N/A,45162,45184,45197,55073,", 4x811.301,"
206685,DORNER M6 TWIST-IN T-NUT,0,1,22,22,22,22,DORNER,AAP,,50 IN NULINE STOCK,N/A,N/A,N/A,N/A,N/A,", 4x332.312, 4x333.312, 4x334.307, 2x632.317, 4x633.317, 4x634.309,"
00221594,"XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",23.22,1,5,5,5,5,Gates,MOTION, ,221594,45125,45147,45176,45176,55042,", 5x132.302,"
406421,ELESA LMR.60-AS-M12x60,11.44,1,0,0,4,4,ELESA,ELESA, , ,45083,45084,45103,45103,54922,","
406821,Elesa LMR-60-AS-M12x60,14.16,1,4,4,4,4,Elesa,Elesa, , ,N/A,45169,45184,45184,55121,", 4x180.308,"
406936,ELESA LMR.F-80-AS-M16x125,20.38,1,46,46,50,50,ELESA,ELESA, , ,45083,45084,45168,45168,"42x54922, 8x55056",", 26x111.301, 20x311.301,"
00584951,EMERSON ER16 Insert Bearing,36.88,1,6,6,6,6,EMERSON,MOTION, ,584951,45125,45147,45176,45176,55042,", 6x130.315,"
00585257,EMERSON ER24 Insert Bearing,99.48,1,6,6,14,14,EMERSON,MOTION, ,585257,45125,45147,45176,45176,55042,", 6x130.321,"
801733,"NS 35/ 7,5 PERF 2000MM - DIN rail perforated",,,5806,#DIV/0!,,,Phoenix Contact,CRAVE,,,,,,,,", 6x001.395, 1200x002.350, 675x003.326, 900x004.321, 900x005.332, 675x006.322, 725x007.323, 725x008.323,"
1029569,"End cover - D-PT 1,5/S-0,8 OG",,1,4,4,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x002.353, 1x004.323, 1x007.325, 1x008.325,"
1029591,"D-PT 1,5/S-QUATTRO-0,8 OG, END-COVER, OG",,1,23,23,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 10x001.367, 1x003.316, 3x004.333, 3x005.312, 3x007.307, 3x008.307,"
1043700,"MEMORY PLUG FOR FLEXISOFT FX3-CPU, FX3-MPL000001",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.386,"
1043784,"SAFETY PLC, FLEXISOFT, FX3-CPU130002, EFI CAPABLE",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.385,"
1044072,"GATEWAY, ETHERNET/IP, FLEXISOFT, FOR FX3-CPU, FX0-GENT00000",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.360,"
1044124,"SAFE DIGITAL INPUTS, FLEXISOFT, 8-CHANNEL, FX3-XIDI80002",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.387,"
1044125,"SAFE DIGITAL COMBI, FLEXISOFT, 8-CHANNEL IN, 4-CHANNEL OUT, FX3-XIIO84002",,1,1,1,,,SICK,CRAVE,,,,,,,,", 1x001.388,"
1059450,SICK Position Sensor on Actuated Dancer Roller,464,1,2,2,2,2,Sick,AAP, , ,N/A,45152,45187,45187,55054,", 2x216.302,"
1075896,VAL-US-277/80/3+0-FM - Type 1 surge protection device,,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.368,"
1085039,FL SWITCH 1005N - Industrial Ethernet Switch,,1,2,2,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.369,"
1085254,"1105N, 5-Port 10/100/1000Tx Port Industrial Ethernet Switch",,1,2,2,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x007.321, 1x008.321,"
1085343,"SAFETY RELAY, RLY3-OSSD1, 2 CHANNEL INPUTS W/EDM",,1,8,8,,,SICK,CRAVE,,,,,,,,", 1x001.389, 1x002.330, 1x003.325, 1x004.315, 1x005.317, 1x006.321, 1x007.312, 1x008.312,"
01200410,Tolomatic 0120-0410 Gearbox 12mm D Shaft,678.08,1,2,2,2,2,Tolomatic,Fiero, , ,N/A,45077,45133,45133,54911,", 2x250.307, 0x253.301,"
02043842,Gates 1610 40MM - 78581640 Taper-Lock Bushings,23.22,1,5,5,5,5,Gates,MOTION, ,2043842,45125,45147,45176,45176,55042,", 5x133.302,"
2066626,SICK BEF-KHZR085MPA Mounting Bracket for MPA Cylinder Sensor,6.8667,1,4,4,4,4,SICK,AAP,,,45202,45203,45238,45238,55182,", 4x216.315,"
2903155,TRIO-PS-2G/3AC/24DC/20 - Power supply unit,,1,3,3,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.370, 1x002.322,"
2909909,"ELECTRONIC CIRCUIT PROTECTOR, NEC CLASS 2, STATUS CONTACT, PTCB E1 24DC/1-3A NO",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.371,"
3022276,CLIPFIX 35-5 - End clamp,,1,41,41,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 15x001.372, 8x002.323, 2x003.317, 4x004.334, 2x005.313, 2x006.327, 4x007.308, 4x008.308,"
3030161,Plug-in bridge - FBS 2-5,,1,3,3,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x001.393, 1x002.349,"
3030336,"FBS 2-6; PLUG-IN BRIDGE, 2-POSITION, 6.2MM PITCH, RED",,1,17,17,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 3x001.396, 3x002.351, 1x004.322, 4x005.323, 3x007.324, 3x008.324,"
3030513,"End cover - D-ST 2,5-QUATTRO-0,8 OG",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x002.354,"
3030873,"RB ST 10-(2,5/4) - Reducing bridge",,1,6,6,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.373,"
3113771,"End cover for PT 1,5/S-3L, Gray, D-PT 1,5/S-3L",,1,1,1,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x001.374,"
3208126,"Feed-through terminal block - PT 1,5/S BU",,1,13,13,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 4x002.355, 1x004.324, 4x007.326, 4x008.326,"
3208208,"Four-conductor terminal block, PT 1,5/S-QUATTRO BU",,1,55,55,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 24x001.375, 4x003.321, 8x004.312, 3x005.314, 4x006.316, 6x007.310, 6x008.310,"
3208979,"D-PT 4-QUATTRO; END COVER, GY",,1,28,28,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 11x001.376, 3x002.324, 4x004.335, 4x005.315, 3x007.309, 3x008.309,"
3209581,"Feed-through terminal block - PT 2,5-QUATTRO BU",,1,5,5,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 3x001.377, 2x002.325,"
3211797,"PT 4-QUATTRO; Feed-through terminal block, 32A, 24..10AWG, GY",,1,47,47,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 14x001.378, 6x002.326, 1x003.322, 5x004.313, 8x005.316, 1x006.317, 6x007.311, 6x008.311,"
3211809,"Ground modular terminal block, PT 4-QUATTRO-PE, 24..10AWG, GNYE",,1,9,9,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 1x003.327, 1x004.314, 2x005.324, 1x006.323, 2x007.327, 2x008.327,"
3212057,D-PT 10 - End cover,,1,6,6,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.379,"
3212120,"Feed-through terminal block, 57A, 20..6AWG, GY, PT 10",,1,6,6,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.380,"
3213014,"Plug-in bridge - FBS 2-3,5, 17.5A",,1,14,14,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 9x001.394, 1x004.320, 2x007.322, 2x008.322,"
3213027,"Plug-in bridge, RD, FBS 3-3,5",,1,4,4,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 2x004.326, 2x005.326,"
3213726,"Multi-level terminal block - PT 1,5/S-3L BU",,1,40,40,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 40x001.381,"
03220129,Gates P35-8MGT-30 Pully,110.48,1,10,10,10,10,Gates,MOTION, ,3220129,45125,45147,45176,45176,55042,", 5x132.301, 5x133.301,"
3270145,"Potential distributors - PTRV 8-PV /BU, 32 POSITION, 26-14AWG, 10A",,1,13,13,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.382, 3x002.327, 2x003.323, 2x006.318,"
3270154,"D-PTRV 8 WH 1-8, SEPARATING PLATE FOR 32 POS MARSHALLING TERMINAL BLOCK",,1,12,12,,,PHOENIX CONTACT,CRAVE,,,,,,,,", 6x001.383, 2x002.328, 2x003.324, 2x006.320,"
6045315,Sick panel mount E-Stop,0,1,3,3,3,3,Sick,CRAVE, ,Provided by CRAVE,N/A,N/A,N/A,N/A,N/A,", 1x001.391, 1x002.331, 1x009.304,"
09165546,Gates 640-8MGT-30 Toothed belt,48.31,1,5,5,5,5,Gates,MOTION, ,9165546,45125,45147,45176,45176,55042,", 5x132.303,"
64080000,"WERMA terminal element, 70mm diameter, cage clamp, base or bracket mount, IP65. Cap and seal included.",30,1,2,2,2,2,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 1x002.304, 1x009.311,"
64110000,"WERMA incandescent light element, 70mm diameter, red, permanent light function, 12-240 VAC/VDC, colored lens, IP65. Purchase bulb separately.",23,1,2,2,2,2,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 1x002.305, 1x009.312,"
64120000,"WERMA incandescent light element, 70mm diameter, green, permanent light function, 12-240 VAC/VDC, colored lens, IP65. Purchase bulb separately.",23,1,2,2,2,2,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 1x002.306, 1x009.313,"
64130000,"WERMA incandescent light element, 70mm diameter, yellow, permanent light function, 12-240 VAC/VDC, colored lens, IP65. Purchase bulb separately.",23,1,2,2,2,2,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 1x002.307, 1x009.314,"
64150003,"NETWORK FIELDBUS CARD, ETHERNET/IP",,1,6,6,,,LS ELECTRIC,CRAVE,,,,,,,,", 3x007.320, 3x008.320,"
64580075,"WERMA stack light 70mm buzzer element, 85 dB at 1m, continuous or pulse tone(s), 24 VAC/VDC, IP65.",55,1,2,2,2,2,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 1x002.303, 1x009.310,"
95584035,"WERMA bulb, incandescent, replacement, 24 VDC, BA15d bayonet, clear/white, 5W.",8.25,1,6,6,10,10,Werma,AutoDir, , ,N/A,45093,45100,45100,54941,", 3x002.308, 3x009.315,"
97584085,"WERMA mounting bracket, 1-sided mount, black, polyamide.",0,1,1,1,1,1,WERMA,CRAVE,,CRAVE BOUGHT THIS,N/A,N/A,N/A,N/A,N/A,", 1x009.316,"
0626042463,"CIRCUIT BREAKER, BK63HU 1P B4A 10kA 277VAC, 60VDC UL489",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.349,"
0626050563,"CIRCUIT BREAKER, C-TRIP CURVE, 277VAC, 60VDC UL489, 1-POLE, 15A",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x002.347,"
0627050163,"CIRCUIT BREAKER, BK63HU 2P D1A 10KA, 480Y/277VAC, UL489",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.350,"
0627056863,"CIRCUIT BREAKER, BK63HU 2P D15A 10kA 480Y/277VAC UL489",,1,2,2,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x007.318, 1x008.318,"
0628038163,"CIRCUIT BREAKER, 3P D40A 10KA, 240VAC MAX, UL489",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.351,"
0628039463,"CIRCUIT BREAKER, BK63HU 3P C2A 10KA, 480Y/277VAC, 60VDC UL489",,1,3,3,,,LS ELECTRIC,CRAVE,,,,,,,,", 2x001.352, 1x002.314,"
0628039763,"CIRCUIT BREAKER, BK63HU 3P C6A 10KA, 480Y/277VAC, 60VDC UL489",,1,8,8,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.353, 1x002.315, 3x007.304, 3x008.304,"
0628039863,"CIRCUIT BREAKER 3P C10A 10kA 480Y/277VAC, 60VDC UL489",,1,4,4,,,LS ELECTRIC,CRAVE,,,,,,,,", 4x001.354,"
0628040763,"CIRCUIT BREAKER 3P D10A 10kA 480Y/277VAC, 60VDC UL489",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.355,"
0628046963,"CIRCUIT BREAKER, BK63HU 3P C15A 10kA 480Y/277VAC UL489",,1,2,2,,,LS ELECTRIC,CRAVE,,,,,,,,", 2x001.356,"
0628047263,"CIRCUIT BREAKER, BK63HU 3P D15A 10KA 480Y/277VAC",,1,1,1,,,LS ELECTRIC,CRAVE,,,,,,,,", 1x001.357,"
3842516715,BRX GUIDE COMPONENT NUT 8/10,14.0429,1,12,12,12,12,BRX,AAP, , ,N/A,45162,45184,45197,55073,", 4x124.306, 4x126.306, 4x127.306,"
3842523578,BRX GOTO GUSSET 90X90 SET,19.0571,1,5,5,7,7,BRX,AAP, , ,N/A,45162,45184,45197,"4x55073, 3x55169",", 4x241.304, 1x400.301,"
3842525766,BRX GOTO STR.-SHAPED HANDLE 26X195X58,7.3286,1,0,0,0,,BRX,AAP, , ,N/A,45162,45184,45197,55073,","
3842528718,BRX GOTO T-HEAD BOLT HS10-M8X25,0.7714,1,348,348,350,350,BRX,AAP, ,  ,45104,45105,45133,45133,54968,", 348x117.301,"
3842528735,BRX GOTO T-SLOT STONE 10 M8,0.9857,1,30,30,100,100,BRX,AAP, ,  ,45104,45105,45133,45133,54968,", 2x241.303, 4x331.308, 12x540.301, 4x631.308, 8x710.302,"
3842528738,BRX GOTO T-SLOT STONE 10 M6,0.9857,1,6,6,25,25,BRX,AAP, , ,45104,45105,45133,45133,54968,", 2x213.303, 4x740.301,"
3842529323,Swivel-in M6 sliding block T-Slot N10,0.9714,1,1,1,0,1,BRX,AAP,,1+ IN STOCK,,,,,,", 1x140.318,"
3842530281,BRX GOTO T-NUT 10 M4,0.6429,1,152,152,164,164,BRX,AAP, ,14 NuLine Stock,45104,45105,45133,45133,54968,", 28x121.302, 16x124.302, 16x125.302, 16x126.302, 16x127.302, 16x128.302, 4x217.310, 8x218.305, 16x260.304, 16x270.302,"
3842530283,BRX GOTO T-NUT 10 M5,0.6429,1,348,348,400,250,BRX,AAP, ,,45104,45105,45133,45133,"50x54968, 200x55147, 150x55169",", 2x118.304, 2x119.305, 139x120.302, 13x180.306, 108x210.301, 4x214.306, 4x217.319, 6x219.304, 58x341.307, 2x530.315, 10x640.305,"
3842530285,BRX GOTO T-NUT 10 M6,0.6429,1,841,841,1000,1000,BRX,AAP, ,  ,45104,45105,45133,45133,"54968, 55147, 55270",", 120x113.302, 24x114.302, 24x115.301, 56x116.301, 12x122.302, 2x140.302, 36x211.303, 8x216.309, 28x241.315, 40x310.302, 12x332.304, 12x333.304, 8x334.304, 48x341.308, 8x346.313, 32x470.312, 192x472.303, 40x610.303, 12x632.311, 12x633.311, 8x634.304, 56x640.306, 25x710.301, 8x720.301, 2x750.312, 16x811.302,"
3842530287,BRX GOTO T-NUT 10 M8,0.6429,1,565,565,600,600,BRX,AAP, ,  ,45104,45105,45133,45133,"54968, 55147",", 104x111.302, 80x112.301, 28x121.301, 3x123.301, 8x124.303, 4x125.303, 8x126.303, 8x127.303, 4x128.303, 24x130.309, 12x140.301, 10x170.312, 34x180.307, 8x212.303, 16x215.302, 8x216.310, 16x230.313, 12x241.302, 10x250.310, 4x260.303, 4x270.301, 48x412.302, 48x422.302, 8x470.313, 8x473.305, 16x512.302, 8x514.304, 8x515.304, 16x522.302,"
3842535458,BRX GOTO QUICK CONNECTOR N10 0°,5.2857,1,1179,1179,1017,1017,BRX,AAP, ,17 in stock,N/A,45089,45124,45124,"500x54927, 500x55060",", 194x110.302, 193x120.301, 16x124.301, 8x125.301, 16x126.301, 16x127.301, 8x128.301, 162x210.305, 4x217.314, 4x218.307, 8x260.302, 8x270.304, 116x310.303, 12x330.302, 90x341.309, 96x470.323, 116x610.304, 16x630.302, 48x640.307, 48x810.302,"
3842535466,BRX GOTO QUICK CONNECTOR N10 90°,5.2857,1,216,216,500,500,BRX,AAP, ,  ,N/A,45089,45124,45124,54927,", 60x110.301, 92x210.304, 4x310.304, 4x330.301, 16x341.310, 16x470.324, 4x610.305, 4x630.301, 16x810.303,"
3842544531,"BRX GOTO HINGE AL 45/45, 2PK",25.4286,2,60,30,30,30,BRX,AAP, ,  ,N/A,45162,45184,45197,55073,", 12x124.305, 6x125.305, 12x126.305, 12x127.305, 6x128.305, 6x260.301, 6x270.305,"
3842548752,BRX 45X45 GREY END CAP,1.0429,1,4,4,2,2,BRX,AAP,, ,N/A,45196,45203,,55169,", 2x120.307, 2x341.333,"
3842548756,BRX 45X90 GREY END CAP,2.4571,1,4,4,4,4,BRX,AAP,, ,N/A,45196,45203,,55169,", 2x330.303, 2x630.303,"
3842548758,BRX 3842548758 Cover Cap 90x90 Grey,3.2429,1,54,54,30,30,BRX,AAP, , ,N/A,45162,45184,45197,55073,", 12x110.303, 2x120.306, 12x210.303, 6x310.305, 8x341.311, 6x610.306, 4x640.329, 4x810.301,"
3842548840,"BRX GOTO VARIOFIX BLOCK S,N10,40/45,GREY",3.9,1,312,312,320,320,BRX,AAP, ,  ,45104,45105,45133,45133,"54968, 55147",", 24x120.305, 264x150.301, 24x290.301,"
6030000200,"VFD, TYPE LSLV0008S100-2EONNS, 200V, 3PHASE, 1HP OUTPUT",,1,6,6,,,LS ELECTRIC,CRAVE,,,,,,,,", 3x007.319, 3x008.319,"
"	C2LG6","Duct cover, 50.8mm",,,4,#DIV/0!,,,PANDUIT,CRAVE,,,,,,,,", 4x001.362,"
02023-01,Dienes 02023-01 PQAS 1/2″ SCORE CUT KNIFE HOLDER WITH SET SCREW,177.61,1,1,1,1,1,DIENES,DIENES, , ,45125,45149,45177,45156,55052,", 1x730.301,"
060‐16‐12‐A2,"Mounting bracket, full set, Plastic, one-piece, locking, without tiewrap plates	",4.91,1,1,1,1,1,IGUS,IGUS,,,45202,45203,45205,45205,55184,", 1x710.305,"
06-16-038-0 (4.72'),"IGUS  Series 09 Energy Chain, 1"" Wide",44.32,1,1,1,1,1,IGUS,IGUS, , ,45154,45161,45191,45208,55076,", 1x710.304,"
100XL037,XL Series Timing Belt Trade No. 100xL037,4.83,1,2,2,2,2,MOTION,MOTION, ,MCM=6484K22,N/A,45161,45191,45191,55079,", 2x241.306,"
1023N13,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Standard, 4 Outlets, 1/4 NPT x 1/8 NPT",26.82,1,2,2,2,,MCM,MCM,,,N/A,45238,45239,45239,55277,", 2x214.301,"
1023N17,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Standard, 4 Outlets, 3/8 NPT x 1/4 NPT",28.67,1,2,2,2,,MCM,MCM,,,N/A,45238,45239,45239,55277,", 1x118.301, 1x119.301,"
1023N249,"Straight-Flow Rectangular Manifold, Anodized Aluminum, Extra Wd, 2 Outlets, 3/8 NPT x 1/4 NPT",26.91,1,3,3,4,,MCM,MCM,,,N/A,45238,45239,45239,55277,", 3x219.301,"
1079N511,"Encased Neodymium Magnet with Threaded Stud 5 mm Thick, 10 mm OD",7.57,1,8,8,8,8,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 8x342.313,"
1095K23,1095K23_Zinc-Plated Steel Grease Fitting 1/8 NPT,8.85,10,20,2,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 12x130.328, 8x230.325,"
111010-02,"thermostat, adjustable, N.O. (close on rise) 20 to 80 deg C, 7K switching differential, 35mm DIN rail mount, for electrical enclosure climate control.",,1,1,1,,,STEGO,CRAVE,,,,,,,,", 1x001.390,"
1277N714,"Corrosion-Resistant Timing Belt Pulley XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 28mm OD",13.29,1,8,8,10,10,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 8x241.309,"
1277N717,"Corrosion-Resistant Timing Belt Pulley XL Series, Hub, 2 Flanges, 9.5mm Maximum Belt Width, 35mm OD",14.84,1,8,8,8,8,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 2x341.305, 4x346.307, 2x640.327,"
1277N724,"Corrosion-Resistant Timing Belt Pulley XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 8mm Shaft",24.49,1,4,4,4,4,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 4x341.303,"
1277N725,"Corrosion-Resistant Timing Belt Pulley XL, Hub, 2 Flanges, 9.5mm Maximum Width, 57mm OD, 12mm Shaft",24.49,1,12,12,12,12,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 12x470.317,"
1432N51,"Low-Pressure Threaded Pipe Fitting with Sealant 304 Stainless Steel Bushing Adapter, 3/4 NPT Male x 1/2 NPT Female",11.04,1,0,0,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,","
1432N65,"Low-Pressure Threaded Pipe Fitting with Sealant 304 Stainless Steel Bushing Adapter, 1-1/2 Male x 1/2 Female",34.39,1,0,0,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,","
1575A42,"Piano Hinge with Holes Anodized Aluminum, 3"" Overall Width, 0.430"" Knuckle Diameter, 3' Long",49.29,1,1,1,1,1,MCM,MCM, , ,N/A,45170,45174,45174,55124,", 1x180.305,"
1594 CYCLE START,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, CYCLE START TEXT",,1,1,1,,,CAROLINA LASER,CRAVE,,,,,,,,", 1x002.356,"
1594 CYCLE STOP,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, CYCLE STOP TEXT",,1,1,1,,,CAROLINA LASER,CRAVE,,,,,,,,", 1x002.357,"
1594-CYCLE START,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS,CYCLE START",10,1,1,1,1,1,CAROLINA LASER,CAROLINA LASER,,Provided by CRAVE,N/A,N/A,N/A,N/A,N/A,", 1x009.317,"
1594-CYCLE STOP,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS, CYCLE STOP",10,1,1,1,1,1,CAROLINA LASER,CAROLINA LASER,,Provided by CRAVE,N/A,N/A,N/A,N/A,N/A,", 1x009.318,"
1594-RESET,"LEGEND PLATE FOR 22MM PUSH BUTTON, NOTCHED, SS, RESET",10,1,1,1,1,1,CAROLINA LASER,CAROLINA LASER,,Provided by CRAVE,N/A,N/A,N/A,N/A,N/A,", 1x009.319,"
16004-A-2Z,"Ball Bearing, Shielded, Trade No. 16004-2Z, for 20 mm Shaft Diameter",27.09,1,12,12,12,12,MOTION,MOTION, ,MCM=5972K266,N/A,45161,45191,45191,55079,", 4x341.323, 4x530.308, 4x640.317,"
180XL037,XL Series Timing Belt Trade No. 180xL037,5.97,1,2,2,2,2,MOTION,MOTION, ,MCM=6484K228,N/A,45161,45191,45191,55079,", 2x241.307,"
1909A59,"Adhesive-Back Ruler Reads Left to Right, Yellow Steel, 3 M Length, 1/4"" Width",13.45,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 2x651.305, 2x652.305,"
1AM030AFXK,"Flange-Mount Shaft Collar for 30 mm Diameter, ALUMINUM",65.21,1,0,0,16,14,MOTION,MOTION, ,"Wrong Part received from Motion, to be returned",N/A,45161,45191,45191,14x55079,","
1LM030AFXK,"Flange-Mount Shaft Collar for 30 mm Diameter, Black-Oxide 1117 Carbon Steel",,1,0,0,,,MOTION,MOTION, ,USED FOR GF12.413.06.A MACHINED PART,45218,,,,,","
22EDM03-050460B010101,"Dorner End Drive Conveyor (A Side)
2200 Series end drive conveyor with V-guide belt
tracking, 2.75in (70mm) wide x 5.04ft (1536mm)
long, drive shaft in position B with type 01 - low
side profile on both sides and belt type 01, FDA
Accumulation with fused finger splice.",1231.512,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x332.301, 1x632.301,"
