Purchased,Description,Cost,PK QTY,BOM QTY,Order QTY,PO QTY,RecQTY,Mfg/Matl,Vendor,Assy (temp),Notes,Out to Quote,Order Date,Req Date,Conf Date,PO #,Locations
22EDM03-068360C010101,"Dorner End Drive Conveyor (B Side)
2200 Series end drive conveyor with V-guide belt
tracking, 2.75in (70mm) wide x 6.83ft (2082mm)
long, drive shaft in position C with type 01 - low
side profile on both sides and belt type 01, FDA
Accumulation with fused finger splice.",1347.7125,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x333.301, 1x633.301,"
22M6BESD-2828,"Dorner Bottom Mount Pkg (Pre-Diverter)
2200 Series Standard Load 90 Degree bottom
mount package for a mid drive conveyor,
mounted in the D position, 28:28 pulley ratio.
Uncrated weight = 5lb (2kg).",379.725,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x334.302, 1x634.302,"
22MDM03-0252400D010101,"2200 Series mid drive conveyor (Pre-Diverter)
V-guide belt tracking, 2.75in (70mm) wide x
2.52ft (768mm) long, drive shaft in position D
with type 01 - low side profile on both sides and
belt type 01, FDA Accumulation with fused
finger splice. Configuration includes standard
drive and idler tail.",1828.075,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x334.301, 1x634.301,"
22MFES03B-2816,"Dorner Bottom Mount Pkg (A Side)
2200 Series Standard Load 90 Degree flush
Bottom mount package for a end drive conveyor,
mounted in the B position, 28:16 pulley ratio.
Uncrated weight = 6lb (3kg).",409.8125,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x332.302, 1x632.302,"
22MFES03C-2816,"Dorner Bottom Mount Pkg (B Side)
2200 Series Standard Load 90 Degree flush
Bottom mount package for a end drive conveyor,
mounted in the C position, 28:16 pulley ratio.
Uncrated weight = 6lb (3kg).",409.81225,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x333.302, 1x633.302,"
2301-136Rev.3,Bowl Feeder Assembly per AFS Quote 2301-136Rev.3,38785,1,1,1,1,1,AmFeed,AmFeed, , ,N/A,44981,45117,45135,54758,", 1x320.303,"
2301-137Rev.3,Bowl Feeder Assembly per AFS Quote 2301-137Rev.3 ,34061,1,1,1,1,1,AmFeed,AmFeed, , ,N/A,44981,45117,45135,54758,", 1x620.303,"
234011-C1,ELESA ERX.30 p-M5x20-C1,1.89,1,4,4,4,4,ELESA,ELESA, , ,N/A,45162,45184,45184,55075,", 4x634.307,"
238137-C1,"ELESA ERZ.44p-M5x20-C1 Adjustable Handle for M5 Screw, 20mm Screw L ",3.4,1,12,12,12,12,ELESA,ELESA, , ,N/A,45162,45184,45184,55075,", 4x632.313, 8x633.313,"
238141-C1,"ELESA ERZ.44p-M5x32-C1 Adjustable Handle for M5 Screw, 32mm Screw L ",3.55,1,4,4,4,4,ELESA,ELESA, , ,N/A,45162,45184,45184,55075,", 2x632.314, 2x633.314,"
250XL037,XL Series Timing Belt Trade No. 250xL037,6.93,1,0,0,1,1,MOTION,MOTION, ,MCM=6484K235,N/A,45161,45191,45191,55079,","
260411-C1,ELESA 260411-C1 Black Bridge Handle EBP.200-8-C1,,1,20,20,22,22,ELESA,ELESA,,,N/A,45205,45219,45225,55195,", 4x124.304, 2x125.304, 4x126.304, 4x127.304, 2x128.304, 2x260.305, 2x270.303,"
2977N119,"Rounded Machine Key 316 Stainless Steel, 7 mm x 8 mm, 35 mm Long",6.04,1,16,16,16,16,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 6x412.305, 6x422.305, 2x512.305, 2x522.305,"
300150M,DORNER 300150M M6x1.0 T-Bar,9.8908,1,40,40,40,,DORNER,AAP, , ,N/A,45162,45184,45197,55073,", 8x332.305, 8x333.305, 4x334.306, 8x632.312, 8x633.312, 4x634.308,"
3088A064,"1008-1010 Carbon Steel Ring Shims 0.5 mm Thick, 8 mm ID, 100pk",9.43,100,4,0.04,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x346.310,"
3088A07,"1008-1010 Carbon Steel Ring Shims 0.5 mm Thick, 20 mm ID, 50k",11.43,50,6,0.12,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 6x341.322,"
3088A302,"1008-1010 Carbon Steel Ring Shims, 2 mm Thick, 20 mm ID, 25pk",9,25,112,4.48,5,5,MCM,MCM, , ,N/A,45162,45184,45166,"4x55087, 1x55215",", 112x414.305,"
30DJKGD012D,WATLOW THERMAL COUPLE,48.45,1,2,2,4,4,WATLOW,VALIN, , ,45121,45126,45156,45183,54998,", 2x342.305,"
3185K64,"Continuous-Flex Plastic Conduit Fitting Straight, for 0.84"" OD Snap-in Female x 1/2 NPT Male",7.25,1,2,2,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 2x342.319,"
32EDM48-0300202A010102,"Dorner Belted End Drive Conveyor (Delivery)
3200 Series Belted end drive conveyor with
V-guide belt tracking, standard 3"" pulley drive
tail, output shaft A side idler tail , 48"" (1219mm)
wide belt x 3' (914mm) long, output shaft in
position A with low side profile and type 02
standard general purpo",4472.6625,1,1,1,1,1,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x820.303"
32MBPSA-2016,"3200 & LPZ Series standard load bottom mounting package for end drive conveyor, mounted in the A position, 20:16 pulley ratio.",666.075,1,1,1,1,1,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x820.304"
33409-01-300,"Ball Bearing Sealed with Extended Inner Ring, for 1"" Shaft Diameter",14.96,1,4,4,4,4,MOTION,MOTION, ,MCM=6384K373,N/A,45161,45191,45191,55079,", 4x216.307,"
3388N16,"Clamping Two-Piece Shaft Collar for 10mm Diameter, Chrome Plated 1215 Carbon Steel",14.83,1,3,3,3,3,MCM,MCM,,,N/A,45229,45230,45230,55262,", 3x241.308,"
3388N17,"Clamping Two-Piece Shaft Collar for 12mm Diameter, Chrome Plated 1215 Carbon Steel",16.03,1,12,12,12,12,MCM,MCM,,,N/A,45229,45230,45230,55262,", 8x341.337, 4x640.332,"
3388N21,"Clamping Two-Piece Shaft Collar for 16mm Diameter, Chrome Plated 1215 Carbon Steel",17.98,1,12,12,12,12,MCM,MCM,,,N/A,45229,45230,45230,55262,", 12x470.326,"
34LM012P5,"Clamping Shaft Collarfor 12 mm Diameter, Black-Oxide 1215 Carbon Steel",1.73,1,11,11,12,11,MOTION,MOTION, ,MCM=57445K26,N/A,45161,45191,45191,11x55079,", 9x470.302, 1x530.312, 1x640.324,"
34LM014P5,"Carbon Steel Set Screw Collar for 14 mm Shaft Diameter, DIN 705",3.51,1,0,0,3,3,MOTION,MOTION, ,MCM=6056N22,N/A,45161,45191,45191,55079,","
4322K153,"High-Polish Quick-Clamp Sanitary Tube Fitting 304 Stainless Steel Clamp with Wing Nut for 2"" Tube OD",13.99,1,2,2,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 2x342.306,"
4464K43,"304 Stainless Steel Threaded Pipe Fitting, Low-Pressure, 90 Degree Adapter, 1-1/2 NPT Female x Male",50.6,1,1,1,1,1,MCM,MCM, , ,N/A,45170,45174,45174,55124,", 1x170.310,"
4464K862,"304 Stainless Steel Threaded Pipe Fitting, Low Pressure, Straight Reducer, 1-1/2 x 3/4 NPT Male",37.73,1,1,1,1,1,MCM,MCM, , ,N/A,45170,45174,45174,55124,", 1x170.311,"
5233T699,"High-Temperature Silicone O-Ring 2.5 mm Wide, 30 mm ID",7.59,10,4,0.4,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x656.308,"
5485K34,"High-Pressure Brass Pipe Fitting, Straight Reducer, 3/4 x 1/2 NPT Male",10.76,1,1,1,1,,MCM,MCM,,,N/A,45238,45239,45239,55277,", 1x160.306,"
5537T938,"T-Slotted Framing Silver Corner Bracket for 45 mm High Rail, 1-3/4"" Long",8.01,1,0,0,4,4,MCM,MCM, , ,N/A,45170,45174,45174,55124,","
57445K26,"Clamping Shaft Collar for 12 mm Diameter, Black-Oxide 1215 Carbon Steel",8.97,1,1,1,1,1,MCM,MCM,,,N/A,45216,45217,45217,55215,", 1x341.334,"
57445K442,"Clamping Shaft Collar for 8 mm Shaft Diameter, Zinc Plated 1215 Carbon Steel",10.36,1,6,6,6,6,MCM,MCM, , ,N/A,45162,45184,45166,"5x55087, 1x55167",", 4x341.314, 2x640.325,"
5972K165,"Ball Bearing Shielded, Trade No. 6901-2Z, for 12 mm Shaft Diameter",14.29,1,11,11,15,15,MCM,MCM, ,,N/A,45162,45184,45166,55087,", 1x141.305, 2x242.301, 1x253.305, 4x346.303, 3x471.304,"
5972K323,"Ball Bearing Shielded, Trade No. 6001-2Z, for 12 mm Shaft Diameter",8.42,1,27,27,27,27,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 1x341.325, 24x470.303, 1x530.311, 1x640.322,"
5972K84,"Ball Bearing Sealed, Trade No. 6003-2RS, for 17 mm Shaft Diameter ",10.72,1,6,6,6,6,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 6x250.304,"
5972K91,"Ball Bearing Open, Trade Number 608, for 8 mm Shaft Diameter",4.82,1,45,45,45,45,MCM,MCM, , ,N/A,45162,45189,45189,"55087, 55152",", 3x140.317, 16x241.312, 12x341.320, 8x346.305, 6x640.316,"
5LM008008F,"Two-Piece Shaft Coupling Steel, for 8 mm x 8 mm Diameter Round Shaft",57.43,1,3,3,3,3,MOTION,MOTION, ,MCM=6508T52,N/A,45161,45191,45191,55079,", 1x140.308, 2x241.313,"
5LM012012F,"Two-Piece Shaft Coupling Steel, for 12 mm x 12 mm Diameter Round Shaft",44.78,1,6,6,7,6,MOTION,MOTION, ,MCM=6508T54,N/A,45161,45191,45191,7x55079,", 1x250.305, 1x341.319, 2x530.309, 2x640.320,"
6056N21,"Carbon Steel Set Screw Collar for 12 mm Shaft Diameter, DIN 705",3.14,1,6,6,7,7,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x140.309, 2x250.306,"
60645K351,"Ball Joint Rod End 7/16""-20 Thread, Right Hand",10.07,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x216.305,"
60845K330,Two Piece Shaft Coupling for 0.5in Shaft,66.98,1,0,0,1,1,MCM,MCM, , ,N/A,45162,45184,45166,55087,","
614NHH,"DC Fans DC Tubeaxial Fan, 60x60x25mm, 24VDC, 33CFM, 3W, 6850RPM, 41dBA, Ball Bearing",,1,2,2,,,EBM PAPST,CRAVE,,,,,,,,", 1x004.325, 1x005.325,"
6153K22,"Stainless Steel Ball Bearing Shielded, Trade No. 698-2Z, for 8 mm Shaft Diameter",14.33,1,0,0,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,","
62645K38,"Flange-Mounted Shaft Support for 12 mm Shaft Diameter, 1060 Aluminum",20.42,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x342.315,"
62M040ES423EN,"Dorner Gear Motor (Pre-Diverter)
Standard load 90 Degree VFD Variable Speed
gearmotor, .38 Hp (.28kw), 230/460 volt, 43
RPM. Order variable speed controller separately.
Uncrated weight = 15lb (7kg).",688,1,2,2,2,2,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x334.303, 1x634.303,"
62M060ES423EN,Dorner 2200 Series standard load 90 Degree (A and B Side),823.6154,1,4,4,4,4,Dorner,AAP, , ,N/A,45085,45110,45110,54924,", 1x332.303, 1x333.303, 1x632.303, 1x633.303,"
6484K239,XL Series Timing Belt Trade No. 300xL037,12.87,1,3,3,3,3,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 3x470.318,"
6484K445,XL Series Timing Belt Trade No. 400xL037,15.22,1,3,3,3,3,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 3x470.319,"
6484K449,XL Series Timing Belt Trade No. 480xL037,17.02,1,2,2,2,2,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 2x341.304,"
6484K452,XL Series Timing Belt Trade No. 570xL037,20.04,1,2,2,2,2,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 2x640.326,"
6484K453,XL Series Timing Belt Trade No. 630xL037,22.11,1,2,2,2,2,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 2x341.302,"
6508T54,"Two-Piece Shaft Coupling, Steel, for 12 mm x 12 mm Diameter Round Shaft",86.9,1,1,1,1,1,MCM,MCM,,,N/A,45216,45217,45217,55215,", 1x341.328,"
6767N113,"Linear Motion Shaft 1566 Carbon Steel, 12 mm Diameter, 250 mm Long",9.17,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 4x342.317,"
6804 2RS,"Ball Bearing, Shielded, Trade No. 6804-2Z, for 20 mm Shaft Diameter",11.56,1,3,3,3,3,MOTION,MOTION, ,MCM=5972K157,N/A,45161,45191,45191,55079,", 3x345.305,"
69823-C9,ELesa VCT.25 p-M5x20-C9 Lobe knob,1.68,1,4,4,4,4,ELESA,ELESA, ,  ,N/A,45162,45184,45184,55075,", 2x655.304, 2x665.304,"
7000-08041-6101000,"MURR M8 Female, 0deg A-Coded, 3-Pin, w/ Cable",21.52,1,48,48,50,50,MURR,MURR, ,  ,45161,45162,45184,45184,55080,", 2x140.320, 6x243.314, 2x331.309, 8x342.338, 6x343.328, 6x344.328, 2x631.309, 2x650.310, 2x653.302, 2x654.304, 2x656.306, 2x660.310, 2x663.302, 2x664.304, 2x740.307,"
7000-08061-6110750,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 7.5m, black",21.04,1,10,10,10,10,MURR,MURR, , ,45161,45162,45184,45184,55080,", 3x343.329, 3x344.329, 1x650.311, 1x655.306, 1x660.311, 1x665.306,"
7000-08761-6411000,"MURR M8 Female, 0deg A-Coded, 4-Pin, w/ Cable, 10m, black",25,1,8,8,10,10,MURR,MURR,,,45216,45219,45226,45226,55194,", 2x216.314, 1x331.313, 1x631.313, 2x651.302, 2x652.302,"
7000-12221-6340500,M12 female 0° A-cod. 4-Pin with cable 5M,26.52,1,8,8,10,10,MURR,MURR,, ,45216,45219,45226,45226,55194,", 2x003.333, 2x213.304, 2x218.308, 2x223.302,"
7162K62,"Turn-Lock Connector, Three-Blade Straight Plug, Grounded, NEMA L7-30",31.33,1,10,10,10,10,MCM,MCM, , ,N/A,45162,45184,45166,"55087, 55152",", 6x473.303, 2x514.303, 2x515.303,"
7162K64,"Turn-Lock Connector 3-Slot Single Female Receptacle, Grounded, NEMA L7-30",33.19,1,10,10,10,10,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 6x473.301, 2x514.301, 2x515.301,"
7612DLG,"7612 DLG Deep groove ball bearing, 3/4"" Bore, 1-3/4"" O.D - Outside seal, no inner, with light oil lube- no grease.",6.79,1,70,70,100,100,QualBear,QualBear, ,MCM part 4768K6,N/A,45124,45145,45148,54997,", 28x116.302, 16x215.301, 12x216.308, 4x221.301, 4x222.301, 4x251.301, 2x252.301,"
82KS050M1213XA-001_EE,"STSR-2000 SHAFT, 50.8 O.D., for GF12 Segmented Nips Replacement",888.5,1,3,3,3,,Double E,Double E,,,N/A,45287,45310,,55338,", 3x131.301,"
8903T11,"Mil. Spec. Signal/Power Connector Plug, Internal Thread, 2 Poles, MS3106F10SL-4P",51.44,1,2,2,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 2x342.307,"
8903T41,"Mil. Spec. Signal/Power Connector Receptacle, External Thread, 2 Poles, MS3102R10SL-4S",16.32,1,2,2,2,2,MCM,MCM, , ,N/A,45162,45184,45166,55087,", 2x342.308,"
90024A050,"18-8 Stainless Steel Threaded Rod, M4 x 0.7 mm Thread Size, 1 M Long",9.4,1,0.9,0.9,2,2,MCM,MCM, ,PK QTY represents 1meter length,N/A,45162,45184,45163,55088,", 0.3x217.318, 0.4x342.321, 0.1x343.316, 0.1x344.316,"
90154A273,"External Retaining Ring for 12 mm OD, Zinc-Chromate-Plated Spring Steel, 100pk",11.77,100,24,0.24,1,1,MCM,MCM,, ,N/A,45196,45197,45197,55167,", 24x540.305,"
90154A397,"External Retaining Ring for 17 mm OD, Zinc-Chromate-Plated Spring Steel, 50pk",10.6,50,2,0.04,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 2x250.303,"
90154A499,"External Retaining Ring for 21 mm OD, Zinc-Chromate-Plated Spring Steel, 25pk",8.69,25,0,0,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,","
90154A511,"External Retaining Ring for 21 mm OD, Zinc-Chromate-Plated Spring Steel, 25pk",9,25,8,0.32,1,1,MCM,MCM,,,N/A,45217,45218,45218,55218,", 8x342.316,"
90214A418,"316 Stainless Steel Ring Shim 0.5mm Thick, 8mm ID, 10pk",12.48,10,3,0.3,1,1,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55088,", 1x140.312, 2x640.318,"
90214A428,"316 Stainless Steel Ring Shim 0.5mm Thick, 12mm ID, 10pk",12.97,10,18,1.8,2,2,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55088,", 1x341.335, 15x470.304, 1x530.313, 1x640.323,"
90245A175,"Black-Phosphate Steel Key-Locking Inserts with Thin Wall, M10 x 1.5 mm Thread Size",5.46,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 4x216.313,"
90245A174,"Black-Phosphate Steel Key-Locking Inserts with Thin Wall, M10 x 1.5 mm Thread Size",5.46,1,4,4,4,4,MCM,MCM,,,N/A,45217,45218,45218,55218,", 4x656.310,"
90278A541,"18-8 Stainless Steel Precision Shoulder Screw 4 mm Shoulder Diameter, 2 mm Shoulder Length, M3 x 0.5 mm Thread",5.32,1,8,8,8,8,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 8x342.311,"
90326A115,"Medium-Strength Steel Thin Hex Nut, Fine-Thread, Zinc-Plated, M10 x 1.25 mm Thread, 100pk",15.75,100,17,0.17,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 5x341.317, 2x346.311, 6x470.306, 4x640.314,"
90327A157,"Alloy Steel Low-Profile Socket Head Screws Hex Drive, Zinc Plated, M8 x 1.25 mm Thread, 20 mm Long, 25pk",12.7,25,8,0.32,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 4x343.319, 4x344.319,"
90373A136,"Extreme-Strength Hex Head Screw Class 12.9 Steel, M20 x 2.5 mm Thread, 50 mm Long",7.33,1,32,32,32,32,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 32x414.303,"
9056K85,"Multipurpose 6061 Aluminum Round Tube 0.065"" Wall Thickness, 3"" OD x 6""",27.21,1,2,2,2,2,MCM,MCM, ,"6"" Length",N/A,45162,45184,45163,55088,", 2x244.302,"
90695A041,"Medium-Strength Zinc-Plated Steel Thin Hex Nut, Class 04, M10 x 1.5 mm Thread",12.85,100,42,0.42,0,100,MCM,MCM,,100+ in NuLine Stock,N/A,N/A,N/A,N/A,N/A,", 15x341.324, 6x346.314, 9x470.321, 12x640.330,"
91223A418,"316 Stainless Steel Ultra-Low-Profile Socket Head Screw M4 x 0.70 mm Thread, 8 mm Long",4.07,1,20,20,20,20,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 8x332.307, 8x333.307, 4x334.305,"
91263A826,"Zinc-Plated Alloy Steel Hex Drive Flat Head Screw M4 x 0.7 mm Thread, 6 mm Long, 100pk",8.68,100,0,0,1,1,MCM,MCM, , ,N/A,45170,45174,45174,55124,","
91292A314,"18-8 Stainless Steel Socket Head Screw M3 x 0.50 mm Thread, 55 mm Long, 25pk",10.36,25,4,0.16,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 2x343.315, 2x344.315,"
91292A425,"18-8 Stainless Steel Socket Head Screw M6 x 1 mm Thread, 140 mm Long",3.82,1,16,16,16,16,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 8x342.320, 4x343.318, 4x344.318,"
91306A788,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 40 mm Long",12.35,10,9,0.9,2,2,MCM,MCM,,,N/A,45229,45230,45230,55262,", 5x341.336, 4x640.331,"
91306A789,"Button Head Hex Drive Screws, Zinc-Plated Alloy Steel, M10 x 1.5 mm Thread, 45 mm Long",6.83,5,5,1,2,2,MCM,MCM,,,N/A,45229,45230,45230,55262,", 2x346.315, 3x470.325,"
91390A133,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 20 mm Long, 50pk",10.58,50,8,0.16,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 8x342.310,"
91390A552,"Alloy Steel Cup-Point Set Screw M6 x 1 mm Thread, 50 mm Long, 25pk",13.62,25,128,5.12,6,6,MCM,MCM, ,Pack of 25,N/A,45162,45189,45189,"55088, 55152",", 28x413.305, 28x423.305, 14x453.305, 14x463.305, 22x513.305, 22x523.305,"
91455A611,"Zinc-Plated Class 10.9 Steel Washer, M6 Screw Size",13.79,100,8,0.08,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 2x654.305, 2x655.303, 2x664.305, 2x665.303,"
91455A612,91455A612_Zinc-Plated Class 10.9 Steel Washer for M8,7.07,50,4,0.08,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 2x653.306, 2x663.306,"
91455A613,"Zinc-Plated Class 10.9 Steel Washer, M10 Screw Size, 50pk",12.41,50,77,1.54,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 4x241.316, 25x341.316, 10x346.308, 18x470.307, 20x640.315,"
91595A452,"Dowel Pin 52100 Alloy Steel, 6 mm Diameter, 20 mm Long",11.62,25,4,0.16,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55088,", 2x654.306, 2x664.306,"
91595A479,"Dowel Pin 52100 Alloy Steel, 6 mm Diameter, 45 mm Long, 10pk",10.41,10,0,0,2,2,MCM,MCM, , ,N/A,45162,45184,45163,55088,","
91595A579,"Dowel Pin 52100 Alloy Steel, 8 mm Diameter, 50 mm Long, 10pk",13.02,10,32,3.2,4,4,MCM,MCM, , ,N/A,45162,45189,45189,"55088, 55152",", 8x341.315, 16x530.316, 8x640.312,"
91595A636,"Dowel Pin 52100 Alloy Steel, 10 mm Diameter, 16 mm Long, 10pk",17.35,10,8,0.8,1,1,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55088,", 8x740.303,"
91595A640,"Dowel Pin 52100 Alloy Steel, 10 mm Diameter, 20 mm Long, 10pk",10.57,10,116,11.6,12,12,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55088,", 8x113.303, 4x114.303, 4x115.303, 4x140.311, 24x211.301, 4x241.314, 4x310.306, 8x341.313, 48x472.302, 4x610.302, 4x710.303,"
91595A649,"Dowel Pin 52100 Alloy Steel, 10 mm Diameter, 30 mm Long, 10pk",12.91,10,40,4,4,4,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55088,", 24x130.318, 16x230.314,"
91611A410,"Slotted Spring Pins Spring Steel, 6mm Diameter, 30mm Long, for 6-6.2mm Hole, 50pk",10.92,50,32,0.64,1,1,MCM,MCM, ,Pack of 50,N/A,45162,45184,45163,55088,", 32x414.301,"
92095A185,"Button Head Hex Drive Screw Passivated 18-8 Stainless Steel, M3 x 0.50 mm Thread, 20mm Long, 50pk",5.3,50,8,0.16,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55089,", 8x342.322,"
92168A103,"18-8 Stainless Steel Single-Wave Washer for M4 Screw Size, 4.3 mm ID, 9 mm OD, 100pk",7.75,100,8,0.08,1,1,MCM,MCM, , ,N/A,45162,45184,45163,55089,", 8x342.312,"
92510A829,"Aluminum Unthreaded Spacer 1"" OD, 1-1/2"" Long, for 1/2"" Screw Size",10.68,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45163,55089,", 4x216.304,"
92625A135,"Stainless Steel Wing-Head Thumb Screw M6 x 1 mm Thread Size, 50 mm Long",5.43,1,6,6,6,6,MCM,MCM, , ,N/A,45162,45184,45163,55089,", 3x654.307, 3x664.307,"
92661A751,"Ring Shims 5052 Aluminum, 0.0630"" Thick, 1"" ID, 10pk",8.05,10,4,0.4,1,1,MCM,MCM, ,Pack of 10,N/A,45162,45184,45163,55089,", 4x216.306,"
92981A106,"Alloy Steel Shoulder Screws 6 mm Shoulder Diameter, 40 mm Shoulder Length, M5 x 0.8 mm Thread",2.1,1,4,4,4,4,MCM,MCM, , ,N/A,45162,45184,45163,55089,", 4x216.311,"
