Job #,Assy,Item,Rev,Assembly,Description,Total Qty,Locations,Drawing?,HARDWARE FIXED IN MODEL ?,ALL PARTS CHECKED IN?, , , , 
GF12,000,00,A,GF12.000.00.A,2-Up Bag Machine,1, ,,,, , , , 
GF12,001,00,A,GF12.001.00.A,Main Controls Enclosure Assembly,1,", 1x100.0,",,,, , , , 
GF12,002,00,A,GF12.002.00.A,Unwind Controls Enclosure,1,", 1x200.0,",,,, , , , 
GF12,003,00,A,GF12.003.00.A,Spout I/O Enclosure,1,", 1x300.0,",,,, , , , 
GF12,004,00,A,GF12.004.00.A,Side Seal I/O Enclosure,1,", 1x400.0,",,,, , , , 
GF12,005,00,A,GF12.005.00.A,Cross Seal I/O Enclosure,1,", 1x500.0,",,,, , , , 
GF12,006,00,A,GF12.006.00.A,Cap I/O Enclosure,1,", 1x600.0,",,,, , , , 
GF12,007,00,A,GF12.007.00.A,Spout Bowl Enclosure,1,", 1x300.0,",,,, , , , 
GF12,008,00,A,GF12.008.00.A,Cap Bowl Enclosure,1,", 1x600.0,",,,, , , , 
GF12,009,00,A,GF12.009.00.A,HMI Enclosure,1,", 1x120.0,",,,, , , , 
GF12,100,00,A,GF12.100.00.A,Frame Assembly,1,"1x000.0,",EL 9/8/23,EL 9/8/23,, , , , 
GF12,110,00,A,GF12.110.00.A,Lower Main Frame Assembly,1,", 1x100.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,111,00,A,GF12.111.00.A,M8 Leveling Foot Assembly,26,", 16x110.0, 10x210.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,112,00,A,GF12.112.00.A,Extrusion Joining Assembly,10,", 4x110.0, 4x120.0, 2x800.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,113,00,A,GF12.113.00.A,".300, .600 Rail Assembly",4,", 4x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,114,00,A,GF12.114.00.A,.500 Upper Rail Assembly,2,", 2x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,115,00,A,GF12.115.00.A,.500 Lower Rail Assembly,2,", 2x110.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,116,00,A,GF12.116.00.A,Single Web Roller Assembly,14,", 3x110.0, 11x210.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,117,00,A,GF12.117.00.A,Frame Gusset,58,", 17x110.0, 14x120.0, 20x210.0, 2x240.0, 5x400.0,",EL 8/29/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,118,00,A,GF12.118.00.A,"Exh Manifold, 4x 10mm to 1-4",1,", 1x110.0,",,,,,,,
GF12,119,00,A,GF12.119.00.A,"Exh Manifold, 2x 10mm 1-4, 2x 8mm to 1-4",1,", 1x110.0,",,,,,,,
GF12,120,00,A,GF12.120.00.A,Guard Frame Assembly,1,", 1x100.0,",EL 9/8/23,EL 9/8/23,NEED EXTRUSION 120.714; PLASTIC PARTS 120.01 - 120.07, , , , 
GF12,121,00,A,GF12.121.00.A,Door Mag Lock Assembly,14,", 10x120.0, 4x210.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,122,00,A,GF12.122.00.A,Key Station No Reset Assembly,6,", 4x120.0, 2x200.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,123,00,A,GF12.123.00.A,HMI Pendant Assembly,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,124,00,A,GF12.124.00.A,Doors 5-6,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,, , , , 
GF12,125,00,A,GF12.125.00.A,Doors 7-8,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,, , , , 
GF12,126,00,A,GF12.126.00.A,Doors 9-10,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,, , , , 
GF12,127,00,A,GF12.127.00.A,Doors 11-12,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,, , , , 
GF12,128,00,A,GF12.128.00.A,Doors 13-14,1,", 1x120.0,",EL 9/7/23,EL 9/7/23,, , , , 
GF12,130,00,A,GF12.130.00.A,Segmented Nip Assembly,3,", 3x100.0,",EL 8/28/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,131,00,A,GF12.131.00.A,Segmented Idler Nip Assy,3,", 3x130.0,",EL 8/28/23,EL 9/7/23,EL 10/4/23, , , , 
GF12,132,00,A,GF12.132.00.A,Solid Driven Nip Assy,5,", 3x130.0, 2x230.0,",EL 8/28/23,EL 9/7/23,EL 10/17/23, , , , 
GF12,133,00,A,GF12.133.00.A,Servo Assembly,5,", 3x130.0, 2x230.0,",EL 8/28/23,EL 9/7/23,EL 10/17/23, , , , 
GF12,134,00,A,GF12.134.00.A,Nip Manifold Assy,5,", 3x130.0, 2x230.0,",EL 8/28/23,EL 9/7/23,EL 10/5/23, , , , 
GF12,140,00,A,GF12.140.00.A,Center Knife Assembly,1,", 1x100.0,",EL 8/28/23,EL 9/8/23,EL 10/4/23, , , , 
GF12,141,00,A,GF12.141.00.A,Center Slit Knife Handwheel Assy,1,", 1x140.0,",EL 8/28/23,EL 9/8/23,NEED TO ORDER ELESA CE.84183-C1, , , , 
GF12,150,00,A,GF12.150.00.A,Lower Polycarb Panels,1,", 1x100.0,",,,NEED PLASTIC PARTS 150.01 - 150.07, , , , 
GF12,160,00,A,GF12.160.00.A,Air Prep Assy,1,", 1x100.0,",,,NEED TO MACHINE PLATE 160.01.A, , , , 
GF12,170,00,A,GF12.170.00.A,Main Overhead Air Supply,1,", 1x100.0,",,,"NEED PREVOST AIR COMPONENTS, PO 55123", , , , 
GF12,180,00,A,GF12.180.00.A,Plinth and Wireway Assy,1,", 1x100.0,",,,,,,,
GF12,200,00,A,GF12.200.00.A,Unwind and Punch Assembly,1,"1x000.0,",EL 9/11/23,EL 9/11/23,, , , , 
GF12,210,00,A,GF12.210.00.A,Unwind Frame,1,", 1x200.0,",EL 9/11/23,EL 9/11/23,NEED EXTRUSION 210.712; PLASTIC PARTS 210.05 - 210.06, , , , 
GF12,211,00,A,GF12.211.00.A,Unwind Rail Assembly,12,", 12x210.0,",EL 8/29/23,EL 9/8/23,EL 10/5/23, , , , 
GF12,212,00,A,GF12.212.00.A,Edge Guide Actuator Assembly,2,", 2x210.0,",EL 8/30/23,EL 9/8/23,EL 10/5/23, , , , 
GF12,213,00,A,GF12.213.00.A,Edge Guide Eye Assembly,2,", 2x210.0,",EL 8/29/23,EL 9/8/23,NEED TO ORDER MURR 7000-12221-6340500, , , , 
GF12,214,00,A,GF12.214.00.A,"Exh Manifold, 2x 8mm 1-8, 2x 4mm to 1-8",2,", 1x110.0, 1x210.0,",,,,,,,
GF12,215,00,A,GF12.215.00.A,Static Dancer Roller Assembly,2,", 2x210.0,",EL 8/30/23,EL 9/8/23,EL 10/5/23, , , , 
GF12,216,00,A,GF12.216.00.A,Actuated Dancer Roller Assembly,2,", 2x210.0,",EL 8/30/23,EL 9/8/23,"NEED TO ORDER MURR 7000-08061-6110750, NEED SICK 2066626 PO 55182", , , , 
GF12,217,00,A,GF12.217.00.A,Manifold 1 Punch Assy,1,", 1x210.0,",EL 9/11/23,EL 9/11/23,EL 10/5/23, , , , 
GF12,218,00,A,GF12.218.00.A,ITV Assy,2,", 2x210.0,",EL 9/11/23,EL 9/11/23,EL 10/5/23, , , , 
GF12,219,00,A,GF12.219.00.A,"Exh Manifold, 2x 10mm to 1-4",3,", 1x110.0, 2x210.0,",,,,,,,
GF12,220,00,A,GF12.220.00.A,Unwind Roll Assembly,2,", 2x200.0,",EL 8/30/23,EL 8/30/23,EL 10/5/23, , , , 
GF12,221,00,A,GF12.221.00.A,Unwind Short Roller Assembly,2,", 2x220.0,",EL 8/30/23,EL 8/30/23,EL 10/5/23, , , , 
GF12,222,00,A,GF12.222.00.A,Unwind Long Roller Assembly,2,", 2x220.0,",EL 8/30/23,EL 8/30/23,EL 10/5/23, , , , 
GF12,223,00,A,GF12.223.00.A,Unwind Laser Assembly,2,", 2x220.0,",EL 8/30/23,EL 8/30/23,NEED TO ORDER MURR 7000-12221-6340500, , , , 
GF12,230,00,A,GF12.230.00.A,Solid Nip Assembly,2,", 2x200.0,",EL 9/7/23,EL 9/7/23,EL 10/5/23, , , , 
GF12,231,00,A,GF12.231.00.A,Solid Idler Nip Assy,2,", 2x230.0,",EL 9/7/23,EL 9/7/23,EL 10/5/23, , , , 
GF12,240,00,A,GF12.240.00.A,Punch Assembly,1,", 1x200.0,",EL 9/6/23,EL 9/6/23,, , , , 
GF12,241,00,A,GF12.241.00.A,Frame Assembly,1,", 1x240.0,",EL 8/30/23,EL 8/30/23,EL 10/5/23, , , , 
GF12,242,00,A,GF12.242.00.A,Punch Handwheel Assembly,1,", 1x240.0,",EL 9/5/23,EL 9/5/23,NEED TO ORDER ELESA CE.84183-C1, , , , 
GF12,243,00,A,GF12.243.00.A,Punch Assembly,2,", 2x240.0,",EL 9/5/23,EL 9/5/23,EL 10/5/23, , , , 
GF12,244,00,A,GF12.244.00.A,Anvil Assembly,2,", 2x240.0,",EL 9/6/23,EL 9/6/23,EL 10/5/23, , , , 
GF12,245,00,A,GF12.245.00.A,Punch Lead Screw Offset Assembly,2,", 2x240.0,",EL 9/6/23,EL 9/6/23,EL 10/5/23, , , , 
GF12,250,00,A,GF12.250.00.A,Punch Compensator Assembly,1,", 1x200.0,",EL 9/6/23,EL 9/6/23,EL 10/5/23, , , , 
GF12,251,00,A,GF12.251.00.A,2 Roll Compensator Assembly,1,", 1x250.0,",EL 9/6/23,EL 9/6/23,EL 10/5/23, , , , 
GF12,252,00,A,GF12.252.00.A,Single Compensator Roll Assembly,1,", 1x250.0,",EL 9/6/23,EL 9/6/23,EL 10/5/23, , , , 
GF12,253,00,A,GF12.253.00.A,Compensator HandWheel Assembly,1,", 1x250.0,",EL 9/6/23,EL 9/6/23,NEED TO ORDER ELESA CE.84253-C1, , , , 
GF12,260,00,A,GF12.260.00.A,Doors 3-4,2,", 2x200.0,",,,"NEED PLASTIC PART 260.01, HANDLE BRX 3842525766", , , , 
GF12,270,00,A,GF12.270.00.A,Doors 1-2,1,", 1x200.0,",,,"NEED PLASTIC PART 270.01, HANDLE BRX 3842525766", , , , 
GF12,280,00,A,GF12.280.00.A,Unwind Overhead Guard,1,", 1x200.0,",,,, , , , 
GF12,290,00,A,GF12.290.00.A,Unwind Clear Guarding,1,", 1x200.0,",,,NEED PLASTIC PART 290.01, , , , 
GF12,300,00,A,GF12.300.00.A,Spout Seal Assembly,1,"1x000.0,",EL 9/19/23,EL 9/19/23,, , , , 
GF12,310,00,A,GF12.310.00.A,Spout Bowl Frame,1,", 1x300.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,311,00,A,GF12.311.00.A,M12 Leveling Foot Assy,20,", 8x310.0, 8x610.0, 4x810.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,320,00,A,GF12.320.00.A,Spout Bowl Feeder Assembly,1,", 1x300.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,330,00,A,GF12.330.00.A,Spout Conveyor Assembly,1,", 1x300.0,",EL 9/19/23,EL 9/19/23,"NEED EXTRUSIONS 330.701, 702, 703", , , , 
GF12,331,00,A,GF12.331.00.A,Spout Diverter Assembly,1,", 1x330.0,",EL 9/19/23,EL 9/19/23,"NEED PARTS 331.01, 331.08, 331.09 FROM PLATING, PART 331.07 FROM PO 55101 + PLATING, PLASTIC PART 331.10 FROM PO 55166", , , , 
GF12,332,00,A,GF12.332.00.A,Spout Conveyor Assy A,1,", 1x330.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,333,00,A,GF12.333.00.A,Spout Conveyor Assy B,1,", 1x330.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,334,00,A,GF12.334.00.A,Spout Pre-Diverter Conveyor Assy,1,", 1x330.0,",EL 9/19/23,EL 9/19/23,EL 10/5/23, , , , 
GF12,340,00,A,GF12.340.00.A,Spout Insert Module,1,", 1x300.0,",EL 9/19/23,EL 9/19/23,, , , , 
GF12,341,00,A,GF12.341.00.A,Spout Module Frame Assembly,1,", 1x340.0,",EL 9/20/23,EL 9/20/23,"SHAFT COLLAR, SHAFT COUPLING FROM MOTION PO 55171, NEED EXTRUSIONS 341.701, 702, 703, 704, 705, 706, 707, 708, 709", , , , 
GF12,342,00,A,GF12.342.00.A,Spout Seal Assembly,2,", 2x340.0,",EL 9/20/23,EL 9/20/23,"NEED NULINE-MADE PARTS 343.09, 343.10, 342.16", , , , 
GF12,343,00,A,GF12.343.00.A,Spout Lift A-Side Assembly,1,", 1x340.0,",EL 9/21/23,EL 9/21/23,"NEED PART 343.01, 343.02, 343.03, 343.05 BACK FROM PLATING, NEED NULINE-MADE PART 343.06", , , , 
GF12,344,00,A,GF12.344.00.A,Spout Lift B-Side Assembly,1,", 1x340.0,",EL 9/21/23,EL 9/21/23,"NEED PART 343.01, 344.02, 343.03, 343.05 BACK FROM PLATING, NEED NULINE-MADE PART 343.06", , , , 
GF12,345,00,A,GF12.345.00.A,Geared Handwheel Assy,3,", 1x340.0, 1x530.0, 1x640.0,",EL 9/21/23,EL 9/21/23,"NEED PART 345.01 BACK FROM PLATING, NEED NULINE-MADE PART 345.02", , , , 
GF12,346,00,A,GF12.346.00.A,Crossweb Dual Handwheel Assy,2,", 1x340.0, 1x640.0,",EL 9/21/23,EL 9/21/23,"NEED PART 346.01, 346.04 BACK FROM PLATING, PART 346.03 FROM PO 55101 + PLATING, NEED TO ORDER ELESA CE.84213-C1", , , , 
GF12,400,00,A,GF12.400.00.A,Side Seal Assembly,1,"1x000.0,",EL 9/13/23,EL 9/13/23,, , , , 
GF12,410,00,A,GF12.410.00.A,Lower Wall-Side Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,411,00,A,GF12.411.00.A,Side Seal Cassette Frame,6,", 1x410.0, 1x420.0, 1x430.0, 1x440.0, 1x450.0, 1x460.0,",EL 9/12/23,EL 9/12/23,EL 10/5/23, , , , 
GF12,412,00,A,GF12.412.00.A,Lower Side Seal Servo Assembly,3,", 1x410.0, 1x430.0, 1x450.0,",EL 9/12/23,EL 9/12/23,EL 10/5/23, , , , 
GF12,413,00,A,GF12.413.00.A,Lower Side Seal Head,2,", 1x410.0, 1x430.0,",EL 9/12/23,EL 9/12/23,"NEED TO CUT SILICONE RUBBER, NULINE-MADE PART 413.05", , , , 
GF12,414,00,A,GF12.414.00.A,Side Seal Bar Rod End Assembly,16,", 2x410.0, 2x420.0, 2x430.0, 2x440.0, 2x450.0, 2x460.0, 2x510.0, 2x520.0,",EL 9/13/23,EL 9/13/23,NEED PARTS 414.01.B AND 414.02.B BACK FROM PLATING, , , , 
GF12,415,00,A,GF12.415.00.A,Side Seal Runner Block Assembly,24,", 4x410.0, 4x420.0, 4x430.0, 4x440.0, 4x450.0, 4x460.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,416,00,A,GF12.416.00.A,Side Seal Teflon Roll Assy,6,", 1x410.0, 1x420.0, 1x430.0, 1x440.0, 1x450.0, 1x460.0,",,,,,,,
GF12,420,00,A,GF12.420.00.A,Upper Wall-Side Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,422,00,A,GF12.422.00.A,Upper Side Seal Servo Assembly,3,", 1x420.0, 1x440.0, 1x460.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,423,00,A,GF12.423.00.A,Upper Side Seal Head,2,", 1x420.0, 1x440.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,430,00,A,GF12.430.00.A,Lower HMI-Side Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,440,00,A,GF12.440.00.A,Upper HMI-Side Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,450,00,A,GF12.450.00.A,Lower Center Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,453,00,A,GF12.453.00.A,Lower Center Side Seal Head,1,", 1x450.0,",EL 9/13/23,EL 9/13/23,"NEED TO CUT SILICONE RUBBER, NULINE-MADE PART 413.05", , , , 
GF12,460,00,A,GF12.460.00.A,Upper Center Side Seal Cassette,1,", 1x400.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,463,00,A,GF12.463.00.A,Upper Center Side Seal Head,1,", 1x460.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,470,00,A,GF12.470.00.A,Side Seal Frame,1,", 1x400.0,",EL 9/14/23,EL 9/14/23,NEED MISUMI SPACERS FROM PO 55168, , , , 
GF12,471,00,A,GF12.471.00.A,"Handwheel Assembly, Side Seal",1,", 1x470.0,",EL 9/14/23,EL 9/14/23,"NEED NULINE-MADE PART 345.02, NEED TO ORDER ELESA CE.84233-C1", , , , 
GF12,472,00,A,GF12.472.00.A,Side Seal Cassette Rail Assembly,24,", 6x110.0, 18x470.0,",EL 9/14/23,EL 9/14/23,EL 10/5/23, , , , 
GF12,473,00,A,GF12.473.00.A,"Heater Plug Enclosure, Side Seal",2,", 2x470.0,",EL 9/14/23,EL 9/14/23,NEED NULINE-MADE PARTS 473.01, , , , 
GF12,500,00,A,GF12.500.00.A,Cross Seal Assembly,1,"1x000.0,",EL 9/13/23,EL 9/13/23,, , , , 
GF12,510,00,A,GF12.510.00.A,Lower Cross Seal Cassette,1,", 1x500.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,511,00,A,GF12.511.00.A,Cross Seal Cassette Frame,2,", 1x510.0, 1x520.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,512,00,A,GF12.512.00.A,Lower Cross Seal Servo Assembly,1,", 1x510.0,",EL 9/12/23,EL 9/12/23,NEED KEYS MCM 2977N119 ? , , , , 
GF12,513,00,A,GF12.513.00.A,Lower Cross Seal Head,1,", 1x510.0,",EL 9/13/23,EL 9/13/23,"NEED TO CUT SILICONE RUBBER, NULINE-MADE PART 513.05", , , , 
GF12,514,00,A,GF12.514.00.A,Cross Seal 2-Plug Box,2,", 1x510.0, 1x520.0,",EL 9/13/23,EL 9/13/23,NEED NULINE-MADE PART 514.01, , , , 
GF12,515,00,A,GF12.515.00.A,Cross Seal 1-Plug Box,2,", 1x510.0, 1x520.0,",EL 9/13/23,EL 9/13/23,NEED NULINE-MADE PART 515.01, , , , 
GF12,516,00,A,GF12.516.00.A,Cross Seal Teflon Roll Assy,2,", 1x510.0, 1x520.0,",,,,,,,
GF12,520,00,A,GF12.520.00.A,Upper Cross Seal Cassette,1,", 1x500.0,",EL 9/13/23,EL 9/13/23,, , , , 
GF12,522,00,A,GF12.522.00.A,Upper Cross Seal Servo Assembly,1,", 1x520.0,",EL 9/13/23,EL 9/13/23,NEED KEYS MCM 2977N119 ? , , , , 
GF12,523,00,A,GF12.523.00.A,Upper Cross Seal Head,1,", 1x520.0,",EL 9/13/23,EL 9/13/23,NEED 1AM030AFXK FROM MOTION PO 55171, , , , 
GF12,530,00,A,GF12.530.00.A,Cross Seal Frame,1,", 1x500.0,",EL 9/13/23,EL 9/13/23,EL 10/5/23, , , , 
GF12,540,00,A,GF12.540.00.A,Toe Rollers,3,", 1x340.0, 1x500.0, 1x640.0,",EL 9/21/23,EL 9/21/23,"NEED PARTS 540.01, 540.02, 540.03, 540.04 + PLATING, PARTS 540.05, 540.06, NEED MISUMI ROCRHS50A-25 FROM PO 55168", , , , 
GF12,600,00,A,GF12.600.00.A,Cap Inserter Assy,1,"1x000.0,",EL 9/23/23,EL 9/23/23,, , , , 
GF12,610,00,A,GF12.610.00.A,Cap Bowl Frame,1,", 1x600.0,",EL 9/22/23,EL 9/22/23,EL 10/5/23, , , , 
GF12,620,00,A,GF12.620.00.A,Cap Bowl Feeder Assembly,1,", 1x600.0,",EL 9/22/23,EL 9/22/23,EL 10/5/23, , , , 
GF12,630,00,A,GF12.630.00.A,Cap Conveyor Assembly,1,", 1x600.0,",EL 9/22/23,EL 9/22/23,"NEED EXTRUSIONS 630.701, 702, 703", , , , 
GF12,631,00,A,GF12.631.00.A,Cap Diverter Assembly,1,", 1x630.0,",EL 9/19/23,EL 9/19/23,"NEED PARTS 331.01, 331.08, 331.09 FROM PLATING, PART 331.07 FROM PO 55101 + PLATING, PLASTIC PART 631.10 FROM PO 55166", , , , 
GF12,632,00,A,GF12.632.00.A,Cap Conveyor Assy A,1,", 1x630.0,",EL 9/22/23,EL 9/22/23,EL 10/5/23, , , , 
GF12,633,00,A,GF12.633.00.A,Cap Conveyor Assy B,1,", 1x630.0,",EL 9/22/23,EL 9/22/23,EL 10/5/23, , , , 
GF12,634,00,A,GF12.634.00.A,Cap Pre-Diverter Conveyor Assy,1,", 1x630.0,",EL 9/22/23,EL 9/22/23,EL 10/5/23, , , , 
GF12,640,00,A,GF12.640.00.A,Cap Module Frame,1,", 1x600.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 640.01, 640.03, 640.04, 640.05, 640.06, 341.04 FROM PLATING, PART 341.02, 341.03 FROM PO 55101 + PLATING, MISUMI SPACERS FROM PO 55168, NEED EXTRUSIONS 640.701, 702, 703, 704, 705", , , , 
GF12,650,00,A,GF12.650.00.A,Cap Pick N Place A Side Assy,1,", 1x600.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 650.03 FROM PLATING, PART 650.01 FROM PO 55101 + PLATING", , , , 
GF12,651,00,A,GF12.651.00.A,Pick Cylinder Stop Assembly,2,", 1x650.0, 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 651.01, 651.02, 651.03, 651.04 FROM PLATING, NEED TO ORDER MURR 7000-08061-6110750", , , , 
GF12,652,00,A,GF12.652.00.A,Place Cylinder Stop Assembly,2,", 1x650.0, 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 651.01, 651.02, 651.03, 651.04 FROM PLATING, NEED TO ORDER MURR 7000-08061-6110750", , , , 
GF12,653,00,A,GF12.653.00.A,Cap Escapement Assembly-A Side,1,", 1x650.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 653.01, 653.02 FROM PLATING", , , , 
GF12,654,00,A,GF12.654.00.A,Cap Gripper A Side Assembly-A Side,1,", 1x650.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 654.01, 654.02, 654.03, 654.04, 654.05, 654.06 FROM PLATING", , , , 
GF12,655,00,A,GF12.655.00.A,Dead Nest A Side Assembly-A Side,1,", 1x650.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 655.01, 655.02, 655.03, 655.04 FROM PLATING, NEED TO ORDER MURR 7000-08061-6110750", , , , 
GF12,656,00,A,GF12.656.00.A,Pick N Place Actuator Assy,2,", 1x650.0, 1x660.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 650.02, 650.04, 650.05, 650.06 FROM PLATING, NEED SMC BM5-032 FROM PO 55073",,,,
GF12,660,00,A,GF12.660.00.A,Cap Pick N Place B Side Assy,1,", 1x600.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 650.03 FROM PLATING, PART 650.01 FROM PO 55101 + PLATING", , , , 
GF12,663,00,A,GF12.663.00.A,Cap Escapement Assembly-B Side,1,", 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 653.01, 653.02 FROM PLATING", , , , 
GF12,664,00,A,GF12.664.00.A,Cap Gripper A Side Assembly-B Side,1,", 1x660.0,",EL 9/22/23,EL 9/22/23,"NEED PARTS 654.01, 654.02, 654.03, 654.04, 654.05, 654.06 FROM PLATING", , , , 
GF12,665,00,A,GF12.665.00.A,Dead Nest A side Assembly-B Side,1,", 1x660.0,",EL 9/23/23,EL 9/23/23,"NEED PARTS 655.01, 655.02, 655.03, 655.04 FROM PLATING, NEED TO ORDER MURR 7000-08061-6110750", , , , 
GF12,700,00,A,GF12.700.00.A,Flying Knife Assembly,1,"1x000.0,",EL 9/18/23,EL 9/18/23,, , , , 
GF12,710,00,A,GF12.710.00.A,Knife Frame Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,NEED PART 710.02 FROM PO 55101, , , , 
GF12,720,00,A,GF12.720.00.A,Actuator Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,730,00,A,GF12.730.00.A,Dienes Knife Assembly,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,740,00,A,GF12.740.00.A,Knife Web Clamp Assembly,4,", 4x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,750,00,A,GF12.750.00.A,Knife Manifold,1,", 1x700.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,800,00,A,GF12.800.00.A,Delivery Assembly,1,"1x000.0,",EL 9/18/23,EL 9/18/23,, , , , 
GF12,810,00,A,GF12.810.00.A,Delivery Frame,1,", 1x800.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,811,00,A,GF12.811.00.A,Conveyor L Bracket Assy,4,", 4x810.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 
GF12,820,00,A,GF12.820.00.A,Delivery Conveyor Assembly,1,", 1x800.0,",EL 9/18/23,EL 9/18/23,EL 10/5/23, , , , 